#ip_address latitude longitude
169.235.24.232 33.7529 -116.0556
72.36.112.78 40.1106 -88.2073
202.197.15.3 28.1792 113.1136
202.197.15.1 28.1792 113.1136
199.26.254.67 38.8357 -77.3375
129.130.252.140 39.1836 -96.5717
157.92.44.101 -34.6033 -58.3816
190.227.163.141 -34.6033 -58.3817
200.17.202.195 -25.4167 -49.25
165.91.55.8 30.628 -96.3344
216.48.80.14 45.3176 -75.895
212.199.61.203 32.4751 35.0297
129.130.252.141 39.1836 -96.5717
128.8.126.111 38.9779 -77.0075
128.59.20.227 40.8006 -73.9653
198.82.160.238 37.1791 -80.3515
128.223.8.112 44.0521 -123.0867
129.88.70.226 45.2224 5.8035
169.237.79.211 38.5449 -121.7405
131.179.150.70 33.7866 -118.2987
131.179.150.72 33.7866 -118.2987
169.229.50.14 37.8668 -122.2536
160.36.57.172 35.9901 -83.9622
199.26.254.66 38.8357 -77.3375
128.119.247.251 42.3672 -72.5185
158.121.252.21 42.3159 -71.0559
145.99.179.147 52.0833 5.0833
208.94.63.193 35.3471 -120.4553
129.105.15.38 42.0586 -87.6845
170.140.119.69 33.7952 -84.3248
130.104.72.200 50.8833 4.7
212.199.61.205 32.4751 35.0297
129.74.74.20 41.7007 -86.2501
128.84.154.41 42.4406 -76.4966
170.140.119.70 33.7952 -84.3248
155.98.35.7 40.7855 -111.7367
155.98.35.8 40.7855 -111.7367
206.207.248.35 32.2217 -110.9265
152.3.138.6 35.994 -78.8986
140.112.107.82 25.0392 121.525
152.3.138.7 35.994 -78.8986
141.212.113.180 42.2923 -83.7145
152.14.93.139 35.7463 -78.7239
149.43.80.20 42.827 -75.5446
72.36.112.79 40.1106 -88.2073
116.89.165.135 37.5985 126.9783
198.82.160.221 37.1791 -80.3515
131.247.2.248 28.0631 -82.4128
165.242.90.128 34.3963 132.4594
192.248.16.112 7 81
130.194.252.9 -34.2333 140.5667
160.193.163.106 34.6864 135.52
131.247.2.241 28.0631 -82.4128
195.116.53.21 52.2333 21.0167
133.9.81.166 35.69 139.69
72.36.112.73 40.1106 -88.2073
143.107.111.234 -23.5475 -46.6361
202.112.28.98 39.9289 116.3883
143.89.49.74 22.2833 114.15
129.97.74.14 43.4529 -80.5281
139.80.206.132 -45.8714 170.5119
139.80.206.133 -45.8714 170.5119
141.212.113.178 42.2923 -83.7145
193.63.58.71 51.5 -0.13
169.226.40.2 42.6929 -73.838
169.226.40.4 42.6929 -73.838
129.15.78.30 35.2523 -97.4603
203.30.39.242 1.3667 103.8
164.107.127.13 39.9881 -83.0444
